respondent_id,year,Q14_age,Q15_gender,Q16_state,Q17_income,Q1Q2_unaided_Acme_Strawberries,Q1Q2_unaided_Crimson_Crown_Berries,Q1Q2_unaided_Sunrise_Berries,Q1Q2_unaided_Red_Valley_Organics,Q1Q2_unaided_FreshPick_Strawberries,Q1Q2_unaided_Golden_Meadow_Berries,Q1Q2_unaided_Harvest_Hill_Berries,Q3_aided_Acme_Strawberries,Q3_aided_Crimson_Crown_Berries,Q3_aided_Sunrise_Berries,Q3_aided_Red_Valley_Organics,Q3_aided_FreshPick_Strawberries,Q3_aided_Golden_Meadow_Berries,Q3_aided_Harvest_Hill_Berries,Q4_purchased_Acme_Strawberries,Q4_purchased_Crimson_Crown_Berries,Q4_purchased_Sunrise_Berries,Q4_purchased_Red_Valley_Organics,Q4_purchased_FreshPick_Strawberries,Q4_purchased_Golden_Meadow_Berries,Q4_purchased_Harvest_Hill_Berries,Q5_01_quality_overall,Q5_02_freshness,Q5_03_sweetness_flavor,Q5_04_appearance,Q5_05_value_for_price,Q5_06_consistency,Q5_07_availability,Q5_08_sustainability,Q5_09_packaging,Q5_10_trust,Q5_11_shelf_life,Q6_purchase_intent,Q7_category_frequency,Q8_acme_frequency,Q9_last_brand_purchased,Q10_nps,Q11_brand_preference
16,2025,18-24,Female,VA,"$100,000 - $149,999",0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,2,3,3,2,3,3,4,4,2,2,3,2-3 times a month,Never,Don't recall,5,
17,2025,45-54,Male,UT,"$100,000 - $149,999",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,3,3,3,3,2,3,2,3,About once a month,Never,Don't recall,8,
18,2025,45-54,Male,AL,"$150,000 - $199,999",0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,3,2,2,4,3,2,2,3,2,3,2,2-3 times a month,Never,Golden Meadow Berries,3,Red Valley Organics
19,2025,55-64,Female,MN,"$50,000 - $74,999",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,3,1,3,2,3,2,3,3,3,2,3,More than once a week,Never,Crimson Crown Berries,3,Crimson Crown Berries
20,2025,55-64,Male,KY,"$200,000 or more",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,2,3,4,4,2,2,4,2,3,Once a week,Never,Crimson Crown Berries,5,Crimson Crown Berries
21,2025,45-54,Female,NC,"$100,000 - $149,999",0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,2,3,1,2,3,2,4,2,3,3,4,2,About once a month,Often - 2-3 times a month,Acme Strawberries,8,Crimson Crown Berries
22,2025,65 or older,Male,CT,"$100,000 - $149,999",0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,2,3,3,2,3,3,3,3,4,2,4,2-3 times a month,Never,Crimson Crown Berries,0,Crimson Crown Berries
23,2025,25-34,Female,CA,"$150,000 - $199,999",0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,3,4,3,3,3,2,3,4,3,2,4,3,More than once a week,Never,Golden Meadow Berries,8,Golden Meadow Berries
24,2025,18-24,Male,GA,"$25,000 - $49,999",1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,4,2,3,4,3,3,3,4,2,3,3,3,Never / less than once a month,Rarely - a few times a year,FreshPick Strawberries,9,FreshPick Strawberries
25,2025,35-44,Female,FL,"$75,000 - $99,999",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,3,3,4,3,3,3,3,3,3,3,2,4,2-3 times a month,Never,Crimson Crown Berries,2,Crimson Crown Berries
26,2025,35-44,Male,IL,"$100,000 - $149,999",0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,2,4,4,4,3,3,2,3,2,4,3,3,More than once a week,Never,Harvest Hill Berries,4,Harvest Hill Berries
27,2025,25-34,Female,SC,"$150,000 - $199,999",0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,3,2,4,3,2,3,3,2,2,2,3,More than once a week,Sometimes - about once a month,Acme Strawberries,6,Acme Strawberries
28,2025,25-34,Male,AL,"$25,000 - $49,999",1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,4,4,3,3,2,3,3,3,2,3,4,3,2-3 times a month,Sometimes - about once a month,Acme Strawberries,7,Golden Meadow Berries
29,2025,35-44,Female,MD,"$50,000 - $74,999",0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,4,3,3,3,3,2,3,3,4,4,5,3,2-3 times a month,Never,FreshPick Strawberries,9,FreshPick Strawberries
30,2025,35-44,Female,MI,"$150,000 - $199,999",0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,3,5,2,3,2,1,3,2,3,3,4,3,2-3 times a month,Rarely - a few times a year,FreshPick Strawberries,5,FreshPick Strawberries
31,2025,45-54,Female,UT,"$25,000 - $49,999",1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,2,4,2,5,4,2,2,4,3,4,1,3,2-3 times a month,Never,Crimson Crown Berries,5,FreshPick Strawberries
32,2025,55-64,Female,WI,"$50,000 - $74,999",1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,3,4,2,3,3,4,4,2,2,4,3,2-3 times a month,Rarely - a few times a year,Acme Strawberries,4,Acme Strawberries
33,2025,45-54,Female,NJ,"$50,000 - $74,999",0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,4,3,4,3,5,4,3,4,3,4,2,4,Once a week,Never,Golden Meadow Berries,9,Golden Meadow Berries
34,2025,25-34,Male,MI,"$75,000 - $99,999",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,2,1,3,3,4,3,4,2,2,3,2,2-3 times a month,Never,Don't recall,4,
35,2025,25-34,Female,TN,"$50,000 - $74,999",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,3,3,2,2,2,3,3,2,2,2-3 times a month,Never,Don't recall,3,
36,2025,25-34,Female,VA,"$50,000 - $74,999",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,4,3,2,3,3,3,3,About once a month,Never,Don't recall,5,
37,2025,65 or older,Male,MD,"$50,000 - $74,999",1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,3,3,3,1,2,4,4,3,3,3,5,3,Once a week,Never,FreshPick Strawberries,6,Red Valley Organics
38,2025,55-64,Female,MO,"Under $25,000",1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,2,2,3,3,2,2,2,4,4,3,4,2,2-3 times a month,Never,Harvest Hill Berries,3,Crimson Crown Berries
39,2025,18-24,Female,WI,"$100,000 - $149,999",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,3,2,2,4,5,2,3,2,3,2-3 times a month,Rarely - a few times a year,Don't recall,5,Red Valley Organics
40,2025,18-24,Male,VA,"$75,000 - $99,999",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,3,3,2,2,3,3,2,3,2-3 times a month,Never,Don't recall,5,
41,2025,45-54,Female,MN,"$100,000 - $149,999",0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,2,4,3,4,2,1,2,3,3,2,3,2,2-3 times a month,Rarely - a few times a year,Acme Strawberries,5,Sunrise Berries
42,2025,65 or older,Female,MI,"$100,000 - $149,999",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,2,3,2,3,4,2,3,2,3,4,2,2-3 times a month,Never,Crimson Crown Berries,3,Crimson Crown Berries
43,2025,35-44,Female,VA,"$25,000 - $49,999",1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,4,3,3,3,3,3,4,3,3,3,2,3,About once a month,Often - 2-3 times a month,Acme Strawberries,7,Acme Strawberries
44,2025,45-54,Female,MO,"$50,000 - $74,999",0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,3,3,5,4,3,4,3,1,2,1,3,3,2-3 times a month,Sometimes - about once a month,Acme Strawberries,9,Acme Strawberries
45,2025,55-64,Male,MN,"$25,000 - $49,999",0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,3,3,3,1,3,3,2,4,3,3,3,4,More than once a week,Never,Golden Meadow Berries,4,Golden Meadow Berries
46,2025,55-64,Male,OK,"Under $25,000",1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,3,3,2,4,2,3,3,3,3,4,2,3,Never / less than once a month,Often - 2-3 times a month,Crimson Crown Berries,4,Crimson Crown Berries
47,2025,35-44,Female,TX,"$200,000 or more",0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,4,3,4,4,3,5,2,2,1,4,2-3 times a month,Rarely - a few times a year,Crimson Crown Berries,7,Crimson Crown Berries
48,2025,55-64,Female,OK,"$25,000 - $49,999",0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,3,3,2,5,3,3,3,3,3,2,3,4,2-3 times a month,Never,Red Valley Organics,6,Red Valley Organics
49,2025,25-34,Male,VA,"$150,000 - $199,999",0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,4,3,2,3,3,4,2,4,3,3,2,2,2-3 times a month,Often - 2-3 times a month,Crimson Crown Berries,8,Crimson Crown Berries
50,2025,35-44,Female,MN,"$150,000 - $199,999",1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,3,2,2,3,4,3,2,3,3,1,3,2,2-3 times a month,Often - 2-3 times a month,Red Valley Organics,7,Red Valley Organics
51,2025,18-24,Male,IL,"$100,000 - $149,999",1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,5,4,3,2,5,3,3,3,3,3,2,4,About once a month,Rarely - a few times a year,FreshPick Strawberries,7,FreshPick Strawberries
52,2025,25-34,Male,TN,"$100,000 - $149,999",1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,3,3,3,3,4,1,4,4,1,3,2,2,About once a month,Never,Don't recall,4,Sunrise Berries
53,2025,55-64,Female,OR,"$100,000 - $149,999",0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,2,4,3,4,3,2,2,3,2,3,3,3,More than once a week,Never,Sunrise Berries,5,Crimson Crown Berries
54,2025,18-24,Male,IL,"$75,000 - $99,999",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,3,4,2,3,3,3,3,2,4,3,3,About once a month,Never,Sunrise Berries,8,Sunrise Berries
55,2025,18-24,Female,MI,"$75,000 - $99,999",1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,2,2,2,4,2,4,1,4,3,3,2,2,2-3 times a month,Rarely - a few times a year,Golden Meadow Berries,5,Golden Meadow Berries
56,2025,55-64,Non-binary / third gender,FL,"$75,000 - $99,999",1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,4,3,3,3,3,3,2,2,4,3,3,3,Once a week,Rarely - a few times a year,FreshPick Strawberries,7,FreshPick Strawberries
57,2025,25-34,Female,PA,"$150,000 - $199,999",0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2,2,3,2,3,2,4,3,3,3,4,3,2-3 times a month,Never,Red Valley Organics,1,Red Valley Organics
58,2025,65 or older,Male,LA,"$75,000 - $99,999",1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,2,3,3,4,2,3,2,2,2,2,2,2,Once a week,Rarely - a few times a year,Crimson Crown Berries,7,Sunrise Berries
59,2025,35-44,Female,GA,"$200,000 or more",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,5,3,3,2,3,2,3,5,3,4,3,2-3 times a month,Never,Crimson Crown Berries,4,Crimson Crown Berries
60,2025,45-54,Female,TX,"$100,000 - $149,999",0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,5,3,5,4,2,3,4,4,2,2,3,4,2-3 times a month,Never,Harvest Hill Berries,9,Red Valley Organics
61,2025,18-24,Female,OR,"$100,000 - $149,999",0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,3,2,3,4,3,4,4,3,3,2,3,3,About once a month,Rarely - a few times a year,Acme Strawberries,6,Acme Strawberries
62,2025,45-54,Male,OR,"$150,000 - $199,999",0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,2,2,4,3,3,3,3,4,3,3,2,3,2-3 times a month,Sometimes - about once a month,Crimson Crown Berries,4,Crimson Crown Berries
63,2025,25-34,Male,KY,"Under $25,000",1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,3,3,4,3,3,2,4,3,4,2,3,3,Once a week,Rarely - a few times a year,Crimson Crown Berries,6,Crimson Crown Berries
64,2025,55-64,Female,NJ,"$200,000 or more",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,2,4,4,3,2,4,4,2,3,3,3,2-3 times a month,Never,Don't recall,2,
65,2025,35-44,Female,IN,"$50,000 - $74,999",1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2,3,3,4,2,4,3,3,4,2,3,Once a week,Rarely - a few times a year,Don't recall,5,Acme Strawberries
66,2025,45-54,Male,IN,"$100,000 - $149,999",0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,3,3,5,2,2,2,2,2,4,4,2,3,2-3 times a month,Never,Don't recall,5,
67,2025,35-44,Male,CO,"$50,000 - $74,999",0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,2,3,3,2,4,4,2,3,3,3,3,4,About once a month,Never,Red Valley Organics,4,Red Valley Organics
68,2025,55-64,Female,NJ,"$100,000 - $149,999",0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,2,2,2,3,4,2,3,3,4,5,2,2,About once a month,Often - 2-3 times a month,Acme Strawberries,7,Acme Strawberries
69,2025,45-54,Female,AZ,"$100,000 - $149,999",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,4,3,3,3,4,3,3,4,4,4,4,About once a month,Never,FreshPick Strawberries,4,FreshPick Strawberries
70,2025,25-34,Female,VA,"$200,000 or more",0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,4,2,3,3,3,4,3,3,2,3,3,2-3 times a month,Never,Crimson Crown Berries,8,Crimson Crown Berries
71,2025,55-64,Male,CO,"$100,000 - $149,999",1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,3,3,3,5,3,3,4,3,3,3,4,3,2-3 times a month,Rarely - a few times a year,Acme Strawberries,6,FreshPick Strawberries
72,2025,25-34,Non-binary / third gender,VA,"$200,000 or more",1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,2,4,2,3,3,4,3,3,5,2,1,3,2-3 times a month,Sometimes - about once a month,Crimson Crown Berries,4,Crimson Crown Berries
73,2025,18-24,Female,IN,"$75,000 - $99,999",1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,2,4,3,3,2,4,4,3,5,2,2,3,2-3 times a month,Sometimes - about once a month,Crimson Crown Berries,5,Sunrise Berries
74,2025,55-64,Female,WI,"$25,000 - $49,999",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,3,3,3,2,4,3,4,3,3,3,3,3,More than once a week,Rarely - a few times a year,Crimson Crown Berries,9,Crimson Crown Berries
75,2025,55-64,Female,SC,"$75,000 - $99,999",0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,3,3,3,4,2,4,3,2,3,2,3,3,About once a month,Never,Golden Meadow Berries,3,Golden Meadow Berries
76,2025,45-54,Female,WA,"$25,000 - $49,999",0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,2,1,2,3,3,3,2,3,3,2,2,About once a month,Never,Red Valley Organics,6,FreshPick Strawberries
77,2025,35-44,Male,IL,"$75,000 - $99,999",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,2,2,3,4,4,2,3,2-3 times a month,Never,Don't recall,9,Red Valley Organics
78,2025,45-54,Male,MD,"$100,000 - $149,999",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,3,3,2,3,3,3,3,4,2,4,3,4,2-3 times a month,Never,Red Valley Organics,3,Red Valley Organics
79,2025,35-44,Female,TX,"$25,000 - $49,999",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,4,3,2,2,3,3,3,2,3,4,4,3,Once a week,Never,Red Valley Organics,4,Sunrise Berries
80,2025,45-54,Female,TX,"$150,000 - $199,999",1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,4,2,3,1,3,4,3,4,2,2,3,2-3 times a month,Rarely - a few times a year,Sunrise Berries,8,Sunrise Berries
81,2025,65 or older,Female,MA,"$50,000 - $74,999",0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,4,3,4,3,3,4,4,2,4,4,2,4,About once a month,Very often - weekly or more,Crimson Crown Berries,8,Red Valley Organics
82,2025,18-24,Male,MA,"$100,000 - $149,999",0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,3,3,3,3,4,3,3,4,1,4,1,3,2-3 times a month,Rarely - a few times a year,Sunrise Berries,3,Sunrise Berries
83,2025,25-34,Female,WI,"$50,000 - $74,999",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4,2,3,3,3,3,2,3,2,2,2,About once a month,Never,Don't recall,7,
84,2025,35-44,Male,OK,"$75,000 - $99,999",1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,4,3,3,3,5,3,3,4,3,3,3,3,2-3 times a month,Never,Sunrise Berries,7,Sunrise Berries
85,2025,65 or older,Female,FL,"$200,000 or more",0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,4,3,4,3,3,1,4,3,4,1,5,3,About once a month,Often - 2-3 times a month,Acme Strawberries,9,Crimson Crown Berries
86,2025,35-44,Male,GA,"$150,000 - $199,999",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2,4,2,3,5,3,3,4,3,3,3,4,About once a month,Never,Golden Meadow Berries,5,Golden Meadow Berries
87,2025,55-64,Male,TX,"$50,000 - $74,999",1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,3,4,4,4,3,2,4,2,3,2,3,3,About once a month,Rarely - a few times a year,Acme Strawberries,7,Red Valley Organics
88,2025,55-64,Female,CO,"$100,000 - $149,999",0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,3,5,3,3,4,4,2,4,4,3,4,4,2-3 times a month,Never,Crimson Crown Berries,6,Crimson Crown Berries
89,2025,18-24,Male,VA,"$25,000 - $49,999",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,4,2,2,1,2,2,4,3,Never / less than once a month,Never,Don't recall,3,
90,2025,65 or older,Female,NY,"$100,000 - $149,999",0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,5,4,3,1,5,2,2,4,5,4,3,4,About once a month,Never,FreshPick Strawberries,9,FreshPick Strawberries
91,2025,45-54,Male,MO,"$200,000 or more",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,3,3,3,2,3,2,3,2,2,3,3,Once a week,Never,Red Valley Organics,6,Red Valley Organics
92,2025,35-44,Female,MO,"$200,000 or more",0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,4,2,3,3,2,3,2,2,3,2,Never / less than once a month,Sometimes - about once a month,Crimson Crown Berries,6,Acme Strawberries
93,2025,45-54,Female,MI,"Under $25,000",0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,3,4,3,4,3,2,3,3,3,3,2,3,Once a week,Often - 2-3 times a month,Crimson Crown Berries,3,Golden Meadow Berries
94,2025,45-54,Male,WA,"$50,000 - $74,999",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,2,2,3,3,4,2,3,2,4,2,2-3 times a month,Never,Don't recall,5,
95,2025,65 or older,Female,NC,"$150,000 - $199,999",0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,3,3,3,3,3,3,3,4,2,2,3,4,More than once a week,Never,Golden Meadow Berries,3,Red Valley Organics
96,2025,65 or older,Male,AZ,"$50,000 - $74,999",1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,4,5,3,4,4,3,3,3,2,2,2,4,About once a month,Never,Sunrise Berries,5,Sunrise Berries
97,2025,55-64,Male,WA,"$50,000 - $74,999",1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,3,2,3,4,1,3,4,2,4,3,2,3,2-3 times a month,Sometimes - about once a month,Acme Strawberries,7,Sunrise Berries
98,2025,55-64,Non-binary / third gender,MD,"$75,000 - $99,999",0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,3,4,2,3,2,3,2,2,4,4,3,3,Never / less than once a month,Never,FreshPick Strawberries,5,FreshPick Strawberries
99,2025,55-64,Male,AZ,"$150,000 - $199,999",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,3,4,3,3,3,3,3,3,3,2,3,Once a week,Never,Sunrise Berries,1,Sunrise Berries
100,2025,35-44,Female,MO,"$25,000 - $49,999",0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,3,2,1,4,5,3,4,3,3,4,3,3,2-3 times a month,Sometimes - about once a month,Crimson Crown Berries,7,Crimson Crown Berries
